N,go,gr,sr,grad,lang
200,6.327821969985962,0.691784143447876,4.649324655532837,16.344774961471558,96.52940034866333
400,14.404563665390015,2.632265090942383,37.49114012718201,18.937514066696167,100.20309400558472
800,23.8130922317505,11.051592826843262,365.9727292060852,261.1577067375183,104.56931900978088
1200,22.155043125152588,25.173096418380737,1469.5418827533722,263.8385446071625,182.27182722091675
1600,39.28234577178955,49.796671628952026,3609.4599618911743,272.1269528865814,235.8312110900879
3200,226.49242162704468,237.30033373832703,-,447.12408471107483,408.3768012523651
6400,1387.7224566936493,1197.3901975154877,-,1419.150738477707,1136.3741264343262
9000,3338.7048885822296,2871.128446817398,-,2623.023418188095,2121.145994901657
