"$N_{c}$, N_{p}$",k,optimal_scip_time,optimal_gurobi_time,relaxed_scip_time,relaxed_gurobi_time,$\mathbb{E}[{U_{C}}]$_Baseline,$\sigma(\mathbb{E}[U_{G}])$_Baseline,$\#(U_{P} < U_{P\min})/N_{P}$_Baseline,$\sum(V - U_{P})/N_{P^{b}}$_Baseline,$\#(A_{C} > k)/N_{C}$_Baseline,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_Baseline,$\#(A_{C} < k)/N_{C}$_Baseline,$\sum(k - A_{C})/N_{A_{c}^{b}}$_Baseline,$\mathbb{E}[{U_{C}}]$_LP Round,$\sigma(\mathbb{E}[U_{G}])$_LP Round,$\#(U_{P} < U_{P\min})/N_{P}$_LP Round,$\sum(V - U_{P})/N_{P^{b}}$_LP Round,$\#(A_{C} > k)/N_{C}$_LP Round,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP Round,$\#(A_{C} < k)/N_{C}$_LP Round,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP Round,$\mathbb{E}[{U_{C}}]$_LP TopK,$\sigma(\mathbb{E}[U_{G}])$_LP TopK,$\#(U_{P} < U_{P\min})/N_{P}$_LP TopK,$\sum(V - U_{P})/N_{P^{b}}$_LP TopK,$\#(A_{C} > k)/N_{C}$_LP TopK,$\sum(A_{C} - k)/N_{A_{c}^{a}}$_LP TopK,$\#(A_{C} < k)/N_{C}$_LP TopK,$\sum(k - A_{C})/N_{A_{c}^{b}}$_LP TopK
400,10,0,30.468302965164185,0,2.589766502380371,0.9435626582000388,1.2204911984246747,0.0,,0.0,,0.0,,0.9435708629525448,1.219560770204676,0.005,1.0,0.0,,0.0025,1.0,0.9435728373325835,1.2204911984246747,0.005,1.0,0.0,,0.0,
400,10,0,30.32457184791565,0,2.681915044784546,0.9435626582000388,1.2204911984246747,0.0,,0.0,,0.0,,0.9435708629525448,1.219560770204676,0.005,1.0,0.0,,0.0025,1.0,0.9435728373325835,1.2204911984246747,0.005,1.0,0.0,,0.0,
800,10,0,121.40622329711914,0,11.762298345565796,0.9502210070908269,1.197225444697906,0.0,,0.0,,0.0,,0.9502280267450026,1.197225444697906,0.005,1.0,0.0,,0.0,,0.9502280267450026,1.197225444697906,0.005,1.0,0.0,,0.0,
1200,10,0,288.0626714229584,0,29.669243097305298,0.9511489332381008,1.2055555555555553,0.0,,0.0,,0.0,,0.9511518263280777,1.2055555555555553,0.0,,0.0008333333333333334,-1.0,0.0008333333333333334,1.0,0.9511516267098814,1.2055555555555553,0.0016666666666666668,1.0,0.0,,0.0,
1600,10,0,46.76550054550171,0,56.492064476013184,0.9550159205182926,1.1948739537842887,0.0,,0.0,,0.0,,0.9550155238052853,1.1951494850714979,0.0,,0.00125,-1.0,0.0,,0.9550156498644893,1.1948739537842887,0.0025,1.0,0.0,,0.0,
3200,10,0,248.6411623954773,0,239.47592639923096,0.9556556440087036,1.1979267310366268,0.0,,0.0,,0.0,,0.9556550676135169,1.1979038732207345,0.00125,1.0,0.0,,0.0003125,1.0,0.9556553687182238,1.1979267310366268,0.00125,1.0,0.0,,0.0,
6400,10,0,1429.6840505599976,0,1097.849246263504,0.9615131940963457,1.197108976904307,0.0,,0.0,,0.0,,0.9615161931866297,1.1970633651949103,0.0,,0.0003125,-1.0,0.00015625,1.0,0.9615160272743503,1.197108976904307,0.000625,1.0,0.0,,0.0,
9000,10,0,0.0,0,2679.489725589752,,0.0,1.0,10.0,0.0,,1.0,10.0,0.9616388447312173,1.1985946320198175,0.00044444444444444447,1.0,0.00022222222222222223,-1.0,0.00022222222222222223,1.0,0.9616388198327711,1.19862724407265,0.0008888888888888889,1.0,0.0,,0.0,
