"$N_{c}$, N_{p}$}",k,optimal_time,relaxed_time,grad_time,Mean cons. util._Binary,Groups mean STD_Binary,Prod. util. below min \%_Binary,Mean prod. util. below min_Binary,Cons. alloc. above thresh. \%_Binary,Mean cons. above thresh._Binary,Cons. alloc. below thresh. \%_Binary,Mean cons. below thresh._Binary,Mean cons. util._Rounded,Groups mean STD_Rounded,Prod. util. below min \%_Rounded,Mean prod. util. below min_Rounded,Cons. alloc. above thresh. \%_Rounded,Mean cons. above thresh._Rounded,Cons. alloc. below thresh. \%_Rounded,Mean cons. below thresh._Rounded,Mean cons. util._TopK,Groups mean STD_TopK,Prod. util. below min \%_TopK,Mean prod. util. below min_TopK,Cons. alloc. above thresh. \%_TopK,Mean cons. above thresh._TopK,Cons. alloc. below thresh. \%_TopK,Mean cons. below thresh._TopK,Mean cons. util._Grad Rounded,Groups mean STD_Grad Rounded,Prod. util. below min \%_Grad Rounded,Mean prod. util. below min_Grad Rounded,Cons. alloc. above thresh. \%_Grad Rounded,Mean cons. above thresh._Grad Rounded,Cons. alloc. below thresh. \%_Grad Rounded,Mean cons. below thresh._Grad Rounded,Mean cons. util._Grad TopK,Groups mean STD_Grad TopK,Prod. util. below min \%_Grad TopK,Mean prod. util. below min_Grad TopK,Cons. alloc. above thresh. \%_Grad TopK,Mean cons. above thresh._Grad TopK,Cons. alloc. below thresh. \%_Grad TopK,Mean cons. below thresh._Grad TopK
100,5,1.0700116157531738,0.2679786682128906,49.35049629211426,0.9439731554564137,1.1876681167546579,0.0,,0.0,,0.0,,0.9440785055952012,1.155508546052343,0.12,1.0833333333333333,0.0,,0.14,1.0,0.9439722672754596,1.1876681167546579,0.0,,0.0,,0.0,,0.9385867007336957,1.116183975277672,0.32,1.03125,0.0,,0.19,1.2105263157894737,0.9385899212031038,1.1876681,0.1,1.0,0.0,,0.0,
100,5,0.6504948139190674,0.25659918785095215,50.92277240753174,0.9392716056001029,1.1876681167546579,0.0,,0.0,,0.0,,0.9392623327083324,1.1760479959971397,0.05,1.0,0.0,,0.06,1.0,0.9392736821869722,1.1876681167546579,0.0,,0.0,,0.0,,0.9312695126822984,1.1453383779477575,0.21,1.0,0.0,,0.1,1.1,0.9310705971184127,1.1876681,0.1,1.0,0.0,,0.0,
100,5,0.3429248332977295,0.24185729026794434,35.50941252708435,0.9370250173298532,1.1876681167546579,0.0,,0.0,,0.0,,0.9363416245940052,1.1547390277557186,0.15,1.0,0.0,,0.16,1.0,0.9370284903435524,1.1876681167546579,0.0,,0.0,,0.0,,0.9301113910603127,1.1602011319881853,0.14,1.0,0.0,,0.07,1.1428571428571428,0.9306709681355345,1.1876681,0.06,1.0,0.0,,0.0,
100,10,0.281543493270874,0.2357804775238037,48.405559062957764,0.940738703028811,2.3753362335093158,0.0,,0.0,,0.0,,0.9406270323257988,2.3466619318134048,0.12,1.0833333333333333,0.0,,0.13,1.0769230769230769,0.9407389964677313,2.3753362335093158,0.0,,0.0,,0.0,,0.935878327875453,2.3710803913453087,0.06,1.0,0.0,,0.05,1.0,0.9360929810014393,2.3753362,0.01,1.0,0.0,,0.0,
100,10,0.29416418075561523,0.24816584587097168,36.75604033470154,0.9359120179975162,2.3753362335093158,0.0,,0.0,,0.0,,0.9359119983962852,2.3710803913453087,0.04,1.0,0.0,,0.05,1.0,0.9358656944449399,2.3753362335093158,0.0,,0.0,,0.0,,0.9295430820990364,2.3753362335093158,0.0,,0.0,,0.0,,0.9295430820990364,2.3753362,0.0,,0.0,,0.0,
100,10,0.3262326717376709,0.2319784164428711,44.84500169754028,0.9337802289051024,2.3753362335093158,0.0,,0.0,,0.0,,0.93358229541886,2.366464780121512,0.07,1.0,0.0,,0.08,1.0,0.9337718095731694,2.3753362335093158,0.0,,0.0,,0.0,,0.928302089015956,2.3679667790462493,0.07,1.0,0.0,,0.04,1.0,0.9284327604851208,2.3753362,0.03,1.0,0.0,,0.0,
100,25,0.25946569442749023,0.23774933815002441,55.31947422027588,0.9272344355164926,5.9383405837732886,0.0,,0.0,,0.0,,0.9272074667770293,5.937968227152,0.02,1.0,0.0,,0.03,1.3333333333333333,0.9272558493936707,5.9383405837732886,0.01,1.0,0.0,,0.0,,0.9204545977988161,5.942597636275458,0.0,,0.0,,0.01,1.0,0.9204817195892597,5.9383407,0.0,,0.0,,0.0,
100,25,0.31815099716186523,0.25664567947387695,45.37059497833252,0.9246928457237281,5.9383405837732886,0.0,,0.0,,0.0,,0.9246988764404339,5.908925452229026,0.12,1.0,0.0,,0.13,1.0,0.9246898882490965,5.9383405837732886,0.0,,0.0,,0.0,,0.9178369716753736,5.9383405837732886,0.0,,0.0,,0.0,,0.9178369716753736,5.9383407,0.0,,0.0,,0.0,
100,25,0.36366844177246094,0.23952317237854004,50.9384388923645,0.9221601122639042,5.9383405837732886,0.0,,0.0,,0.0,,0.9220751018593835,5.926698537597096,0.04,1.0,0.0,,0.06,1.0,0.922157529151964,5.9383405837732886,0.0,,0.0,,0.0,,0.9161165326772013,5.93408422214882,0.03,1.0,0.0,,0.02,1.0,0.9161473371467801,5.9383407,0.01,1.0,0.0,,0.0,
500,5,10.757917165756226,6.7860682010650635,65.3860023021698,0.9471561039098416,1.199342412416997,0.0,,0.0,,0.0,,0.9470944522835467,1.1873032000668104,0.048,1.0,0.0,,0.05,1.04,0.9471744379038933,1.199342412416997,0.002,1.0,0.0,,0.0,,0.9620526870814943,0.4797369649667988,0.996,3.0,0.0,,1.0,3.0,0.9034905039336454,1.1993424,0.982,3.0,0.0,,0.0,
